Tanggal,Prediksi_Return,Prediksi_USDIDR,Batas_Bawah,Batas_Atas
2026-06-23,0.001178,17842.0,17732.02,17952.66
2026-06-24,-0.000171,17838.95,17683.65,17995.62
2026-06-25,0.000139,17841.43,17651.38,18033.52
2026-06-26,0.000796,17855.63,17636.19,18077.8
2026-06-29,-0.001356,17831.43,17586.6,18079.67
2026-06-30,0.000812,17845.92,17577.68,18118.25
2026-07-01,5.3e-05,17846.87,17557.3,18141.22
2026-07-02,-6.2e-05,17845.76,17536.39,18160.59
2026-07-03,0.000222,17849.73,17521.69,18183.91
2026-07-06,-0.000218,17845.83,17500.3,18198.19
2026-07-07,0.000379,17852.6,17490.24,18222.47
2026-07-08,0.000276,17857.54,17479.13,18244.14
2026-07-09,0.000293,17862.76,17468.96,18265.44
2026-07-10,0.000381,17869.56,17460.91,18287.78
2026-07-13,-0.000183,17866.29,17443.54,18299.29
2026-07-14,0.000422,17873.84,17437.21,18321.4
2026-07-15,0.000338,17879.87,17429.83,18341.54
2026-07-16,0.00026,17884.52,17421.48,18359.88
2026-07-17,0.000402,17891.72,17415.97,18380.47
2026-07-20,-0.00027,17886.9,17399.09,18388.39
2026-07-21,0.000455,17895.05,17395.13,18409.33
2026-07-22,-4.1e-05,17894.32,17382.83,18420.86
2026-07-23,0.000244,17898.69,17375.75,18437.37
2026-07-24,0.000226,17902.74,17368.6,18453.31
2026-07-27,-3.4e-05,17902.12,17357.16,18464.2
2026-07-28,0.000343,17908.27,17352.49,18481.86
2026-07-29,0.000204,17911.93,17345.62,18496.74
2026-07-30,0.000282,17916.99,17340.28,18512.87
2026-07-31,0.000286,17922.1,17335.2,18528.88
2026-08-03,-0.000285,17916.99,17320.39,18534.14
